"Gene_ID","Slyc_P3_m_1","Slyc_P3_m_2","Slyc_P3_m_3","Slyc_P4_d_1","Slyc_P4_d_2","Slyc_P4_d_3","Slyc_P4_p_1","Slyc_P4_p_2","Slyc_P4_p_3","Slyc_P5_d_1","Slyc_P5_d_2","Slyc_P5_d_3","Slyc_P5_p_1","Slyc_P5_p_2","Slyc_P5_p_3","Slyc_P6_d_1","Slyc_P6_d_2","Slyc_P6_d_3","Slyc_P6_p_1","Slyc_P6_p_2","Slyc_P6_p_3","Spen_P3_m_1","Spen_P3_m_2","Spen_P3_m_3","Spen_P4_d_1","Spen_P4_d_2","Spen_P4_d_3","Spen_P4_p_1","Spen_P4_p_2","Spen_P4_p_3","Spen_P5_d_1","Spen_P5_d_2","Spen_P5_d_3","Spen_P5_p_1","Spen_P5_p_2","Spen_P5_p_3","Spen_P6_d_1","Spen_P6_d_2","Spen_P6_d_3","Spen_P6_p_1","Spen_P6_p_2","Spen_P6_p_3","Shab_P3_m_1","Shab_P3_m_2","Shab_P3_m_3","Shab_P4_d_1","Shab_P4_d_2","Shab_P4_d_3","Shab_P4_p_1","Shab_P4_p_2","Shab_P4_p_3","Shab_P5_d_1","Shab_P5_d_2","Shab_P5_d_3","Shab_P5_p_1","Shab_P5_p_2","Shab_P5_p_3","Shab_P6_d_1","Shab_P6_d_2","Shab_P6_d_3","Shab_P6_p_1","Shab_P6_p_2","Shab_P6_p_3"
"Solyc01g104400.2.1",47,34,24,28,20,18,36,20,16,34,22,4,50,25,20,60,19,25,32,9,9,33,26,33,17,6,8,38,11,28,5,3,2,29,6,10,2,7,1,1,3,5,86,24,76,76,47,44,64,47,56,47,38,27,63,55,47,32,20,24,53,44,28
"Solyc01g104720.2.1",3,3,3,7,3,5,6,8,5,3,7,3,16,6,5,17,8,10,5,8,5,2,NA,NA,1,NA,NA,NA,1,1,NA,1,1,15,NA,NA,2,8,2,NA,3,NA,9,6,6,10,12,4,7,11,10,10,19,13,14,18,16,25,43,24,23,20,13
"Solyc01g105500.2.1",5,3,3,8,13,9,5,3,6,2,1,2,6,7,4,6,2,10,3,3,9,NA,1,NA,5,2,3,NA,NA,1,2,NA,1,NA,NA,1,NA,NA,3,1,NA,NA,1,1,1,NA,3,NA,NA,2,NA,NA,2,2,3,NA,1,NA,NA,NA,2,NA,NA
"Solyc01g105720.2.1",64,50,69,44,70,75,54,117,96,47,50,14,89,94,66,51,36,46,75,64,57,54,60,55,80,90,87,76,78,72,78,63,98,125,91,101,54,95,74,59,66,113,122,60,155,55,74,67,70,112,162,59,73,96,129,106,148,61,41,75,104,103,142
"Solyc01g105940.2.1",9,7,4,4,2,2,5,1,1,3,1,1,6,2,6,3,3,7,4,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,2,1,NA,NA,1,3,2,1,1,1
"Solyc01g107370.2.1",2,7,NA,7,4,1,3,8,1,10,NA,NA,6,NA,NA,31,6,NA,11,4,NA,17,25,24,77,39,44,57,32,30,19,10,20,80,25,80,NA,3,3,16,3,20,10,3,6,41,22,13,7,5,10,44,33,28,25,12,13,98,60,65,61,48,39
"Solyc01g107670.2.1",57,26,34,29,24,23,33,29,35,32,23,8,48,27,27,12,6,16,46,15,18,18,12,29,20,13,8,25,17,25,5,6,8,22,13,16,5,19,7,14,10,14,50,18,21,23,11,9,13,30,28,20,11,18,28,24,25,13,5,10,26,17,16
"Solyc01g109180.2.1",137,95,97,182,194,143,127,209,159,206,132,52,333,163,113,210,157,233,152,166,137,183,196,199,138,154,209,260,173,225,92,79,91,340,130,259,186,119,51,86,106,92,224,103,141,200,225,190,166,192,221,121,169,185,250,198,201,192,224,164,262,183,253
"Solyc01g109270.2.1",16,18,16,16,18,27,31,37,44,22,32,7,29,55,49,17,12,13,42,37,39,12,8,13,1,8,5,13,12,13,1,4,2,25,8,11,4,6,1,4,6,3,23,20,27,12,13,15,13,27,32,16,18,21,36,50,44,13,14,9,25,22,24
"Solyc01g110700.2.1",NA,4,3,NA,NA,3,NA,1,3,3,2,1,2,6,NA,4,2,1,4,NA,1,1,2,1,1,1,3,1,1,1,3,1,1,2,NA,2,3,2,1,NA,2,NA,2,1,1,2,3,1,4,2,4,3,1,1,NA,5,1,1,NA,1,3,1,1
